UniprotID,domain,loop,energy,error
Q5VWG9,d4,1,-15.34231011122489,1.3510991606232547
Q6IV72,d16,1,-15.089820971728996,2.2613788975009745
Q9Y4C8,d3,1,-13.8986187213089,1.5369479545914988
Q6P9F5,d1,1,-12.7076298373405,2.482025520860155
Q3ZCX4,d4,1,-14.356848889057838,2.4723397679388954
A6NN14,d27,1,-16.96644321725042,3.0535817196582737
Q8TEC5,d4,1,-14.155913192639051,2.8148469903677533
P17050,d2,1,-14.719167271116309,2.7408440076351024
Q8WUU4,d2,1,-11.595704295469647,2.061560117722256
Q8TCN5,d8,1,-13.935459511603971,2.3554075757764865
Q8TF39,d5,1,-16.819537688804303,2.9035275988215155
Q9HCK8,d3,1,-11.131937741105148,3.4466522648233324
Q05516,d8,1,-15.965213715835347,2.92142259159239
Q6P3V2,d5,1,-12.948594576802169,2.2212126898562143
Q8IV63,d1,1,-11.913251214098587,2.469221501318418
Q9P2J8,d3,1,-12.488011768904121,1.5162633762491406
Q6ZN11,d5,1,-14.817731452443905,6.2534666279269695
Q16600,d7,1,-12.922542686230102,2.507476452886711
O75346,d11,1,-9.801070825868004,1.1147595437353743
Q06730,d9,1,-18.416583239677745,3.4002139413161094
Q86UE3,d14,1,-11.612908817947678,1.9210044812651592
P17027,d1,1,-15.35735949052221,2.8827410142959033
Q99676,d9,1,-11.936405697695896,3.060621097433252
Q9UJW7,d9,2,-15.15638646162445,3.5588953005098922
Q03938,d5,1,-14.572304903498202,2.148799109977084
Q6P280,d5,1,-15.338184465110489,2.77919931771355
Q96SE7,d2,1,-14.010730351260442,1.5635624075704344
Q12864,d5,2,-17.052722343159232,
Q8TF20,d10,1,-13.374774547580758,2.7844069452612956
Q13129,d11,1,-9.30185920552371,1.9099228753403867
O60765,d7,1,-13.756555051219404,4.857028085590983
Q5CZA5,d13,1,-13.072348509578275,2.1089241804362615
Q04609,d2,1,-13.631970993391162,3.5919129607228486
Q5SXM1,d2,1,-13.753057313196042,2.801287354611201
Q9NZL3,d2,1,-14.468895071640329,2.170884057686872
P34896,d1,1,-13.080681367556526,2.7156781437373585
O95780,d7,1,-18.44658849383524,2.2540693414002426
Q6V9R5,d4,1,-18.437590153861656,4.100651400361128
Q0D2J5,d4,1,-18.86409529684529,2.6364820763623964
Q92766,d2,1,-13.566310836600168,1.7941491596855839
Q9HCX3,d4,1,-17.963181771828253,6.169592035408503
Q9H165,d3,1,-15.83104050690296,6.966423207118559
P63241,d1,1,-16.04528707676128,2.3482133076428395
Q5T1R4,d2,1,-15.601148582750815,2.3223260041928446
P12757,d3,2,-13.306248252709398,2.9859125079604567
P17038,d9,1,-11.647670632378182,1.8779466747046243
Q96NJ6,d1,1,-18.35900745700128,3.3802385905047707
Q5HY98,d3,1,-12.461654627090049,2.058945122619124
P49711,d2,1,-9.1305821789254,2.185871969264578
Q68EA5,d2,1,-14.783720678331424,3.560524578553391
Q8IUH3,d2,1,-17.28756640178031,3.88057435292552
Q8TC21,d3,1,-15.047526186656748,1.7452948074542576
Q96EG3,d2,1,-13.473039108763944,2.400051569220172
Q96LU7,d3,1,-12.07710820226658,4.512458692648879
Q52M93,d18,1,-11.021715673011599,3.9484888125634825
Q9Y3M9,d2,1,-13.288788466210763,2.2625556834223355
O75290,d5,1,-16.03147757714923,4.983960179558396
Q96SE7,d5,1,-17.131473259320515,4.757662823961123
Q9GZV8,d4,1,-15.722245486968372,3.5782529208134664
Q8N9K5,d3,1,-12.557504563898862,3.484553857067918
Q13360,d4,1,-14.445297034919736,2.378191282452062
Q8NHY6,d8,1,-15.522990531022186,2.478072390950727
O75123,d2,1,-13.565856579225612,1.4205690936724817
A2RRD8,d11,1,-14.594559166619103,2.4781027600915104
Q8NFM7,d2,1,-12.591838774858935,3.422969812706982
P41182,d5,1,-15.838530261254139,4.086936630066002
Q9Y473,d4,1,-12.902720130774652,2.7311529548582243
Q9BQL6,d6,1,-14.052878026526487,2.2604842670028678
Q01105,d1,1,-12.16096263415826,3.151804163900975
Q09FC8,d6,1,-11.57189471438228,1.989802324488572
Q9BSK1,d6,1,-13.587999819862912,3.0071229837590874
